"bairro","RPA"
"Recife","RPA1"
"Santo Amaro","RPA1"
"Boa Vista","RPA1"
"Cabanga","RPA1"
"Ilha do Leite","RPA1"
"Paissandu","RPA1"
"Santo Antônio","RPA1"
"São José","RPA1"
"Coelhos","RPA1"
"Soledade","RPA1"
"Ilha Joana Bezerra","RPA1"
"Arruda","RPA2"
"Campina do Barreto","RPA2"
"Encruzilhada","RPA2"
"Hipódromo","RPA2"
"Peixinhos","RPA2"
"Ponto de Parada","RPA2"
"Rosarinho","RPA2"
"Torreão","RPA2"
"Água Fria","RPA2"
"Alto Santa Terezinha","RPA2"
"Bomba do Hemetério","RPA2"
"Cajueiro","RPA2"
"Fundão","RPA2"
"Porto da Madeira","RPA2"
"Beberibe","RPA2"
"Dois Unidos","RPA2"
"Linha do Tiro","RPA2"
"Campo Grande","RPA2"
"Aflitos","RPA3"
"Alto do Mandu","RPA3"
"Alto José Bonifácio","RPA3"
"Alto José do Pinho","RPA3"
"Apipucos","RPA3"
"Brejo da Guabiraba","RPA3"
"Brejo de Beberibe","RPA3"
"Casa Amarela","RPA3"
"Casa Forte","RPA3"
"Córrego do Jenipapo","RPA3"
"Derby","RPA3"
"Dois Irmãos","RPA3"
"Espinheiro","RPA3"
"Graças","RPA3"
"Guabiraba","RPA3"
"Jaqueira","RPA3"
"Macaxeira","RPA3"
"Monteiro","RPA3"
"Nova Descoberta","RPA3"
"Parnamirim","RPA3"
"Passarinho","RPA3"
"Pau-Ferro","RPA3"
"Poço da Panela","RPA3"
"Santana","RPA3"
"Sitio dos Pintos","RPA3"
"Tamarineira","RPA3"
"Mangabeira","RPA3"
"Morro da Conceição","RPA3"
"Vasco da Gama","RPA3"
"Cordeiro","RPA4"
"Ilha do Retiro","RPA4"
"Iputinga","RPA4"
"Madalena","RPA4"
"Prado","RPA4"
"Torre","RPA4"
"Zumbi","RPA4"
"Engenho do Meio","RPA4"
"Torrões","RPA4"
"Caxangá","RPA4"
"Cidade Universitária","RPA4"
"Várzea","RPA4"
"Afogados","RPA5"
"Areias","RPA5"
"Barro","RPA5"
"Bongi","RPA5"
"Caçote","RPA5"
"Coqueiral","RPA5"
"Curado","RPA5"
"Estância","RPA5"
"Jardim São Paulo","RPA5"
"Jiquiá","RPA5"
"Mangueira","RPA5"
"Mustardinha","RPA5"
"San Martin","RPA5"
"Sancho","RPA5"
"Tejipió","RPA5"
"Totó","RPA5"
"Boa Viagem","RPA6"
"Brasília Teimosa","RPA6"
"Imbiribeira","RPA6"
"Ipsep","RPA6"
"Pina","RPA6"
"Ibura","RPA6"
"Jordão","RPA6"
"Cohab","RPA6"
